,1,2,3,4,5,6,7,8,9,10
0,0.018752056,0.310344828,0.310588235,0.2575,0.237333333,0.289340102,0.347222222,0.232704403,0.314112291,0.248355263
1,0.018130643,0.302681992,0.261176471,0.2925,0.277333333,0.289340102,0.339285714,0.194968553,0.323975721,0.249850478
2,0.017472676,0.30651341,0.289411765,0.275,0.269333333,0.279187817,0.31547619,0.251572327,0.311836115,0.230562201
3,0.019958329,0.310344828,0.310588235,0.245,0.250666667,0.319796954,0.31547619,0.226415094,0.291350531,0.211722488
4,0.018057536,0.379310345,0.334117647,0.285,0.306666667,0.329949239,0.305555556,0.27672956,0.303490137,0.256728469
5,0.016412618,0.329501916,0.294117647,0.26,0.306666667,0.360406091,0.313492063,0.27672956,0.319423369,0.237589713
6,0.01692437,0.333333333,0.216470588,0.2675,0.266666667,0.355329949,0.319444444,0.251572327,0.323216995,0.261812201
7,0.017545784,0.37164751,0.251764706,0.265,0.272,0.355329949,0.373015873,0.251572327,0.317905918,0.215759569
8,0.014511825,0.340996169,0.235294118,0.2875,0.32,0.375634518,0.28968254,0.27672956,0.314112291,0.205891148
9,0.009723288,0.237547893,0.162352941,0.1325,0.258666667,0.228426396,0.178571429,0.144654088,0.215477997,0.133074163
10,0.013342106,0.379310345,0.270588235,0.26,0.306666667,0.294416244,0.271825397,0.301886792,0.333080425,0.226973684
11,0.01180685,0.260536398,0.188235294,0.22,0.349333333,0.319796954,0.25,0.188679245,0.293626707,0.188696172
12,0.011770296,0.318007663,0.230588235,0.25,0.237333333,0.350253807,0.25,0.213836478,0.273141123,0.184061005
13,0.017984428,0.218390805,0.282352941,0.2475,0.226666667,0.228426396,0.285714286,0.157232704,0.298179059,0.232206938
14,0.011258544,0.32183908,0.235294118,0.2225,0.282666667,0.279187817,0.242063492,0.264150943,0.294385432,0.213217703
15,0.013415214,0.283524904,0.218823529,0.265,0.218666667,0.23857868,0.234126984,0.213836478,0.28983308,0.215610048
16,0.015316007,0.32183908,0.223529412,0.25,0.261333333,0.329949239,0.295634921,0.251572327,0.283004552,0.210376794
17,0.015023577,0.318007663,0.268235294,0.2425,0.293333333,0.314720812,0.307539683,0.20754717,0.308042489,0.208133971
18,0.013744197,0.37164751,0.272941176,0.235,0.245333333,0.335025381,0.299603175,0.327044025,0.287556904,0.246411483
19,0.014987023,0.325670498,0.228235294,0.2575,0.288,0.335025381,0.26984127,0.264150943,0.279210926,0.217703349
20,0.014731147,0.429118774,0.275294118,0.27,0.258666667,0.228426396,0.263888889,0.295597484,0.286039454,0.207236842
21,0.015425668,0.344827586,0.263529412,0.2775,0.354666667,0.38071066,0.28968254,0.257861635,0.346737481,0.24805622
22,0.014621486,0.46743295,0.228235294,0.2725,0.32,0.289340102,0.261904762,0.264150943,0.313353566,0.245514354
23,0.020104544,0.402298851,0.312941176,0.2775,0.333333333,0.350253807,0.303571429,0.220125786,0.351289833,0.291417464
24,0.015681544,0.352490421,0.207058824,0.245,0.328,0.401015228,0.255952381,0.144654088,0.335356601,0.223983254
25,0.01948313,0.475095785,0.308235294,0.2625,0.298666667,0.395939086,0.373015873,0.238993711,0.358118361,0.277811005
26,0.014987023,0.383141762,0.197647059,0.2325,0.36,0.279187817,0.242063492,0.251572327,0.330045524,0.208732057
27,0.019410023,0.375478927,0.230588235,0.2575,0.341333333,0.385786802,0.287698413,0.289308176,0.307283763,0.209330144
28,0.016302957,0.329501916,0.272941176,0.25,0.304,0.411167513,0.259920635,0.238993711,0.336115326,0.222039474
29,0.013342106,0.383141762,0.291764706,0.27,0.325333333,0.390862944,0.305555556,0.289308176,0.341426404,0.244467703
30,0.013707643,0.325670498,0.24,0.2275,0.370666667,0.314720812,0.186507937,0.220125786,0.335356601,0.225777512
31,0.015864313,0.432950192,0.216470588,0.205,0.32,0.329949239,0.267857143,0.320754717,0.315629742,0.234001196
32,0.020725957,0.363984674,0.289411765,0.3275,0.237333333,0.406091371,0.33531746,0.314465409,0.315629742,0.223235646
